iter	Passed	Remaining
747	50191	16909
748	50255	16841
749	50320	16773
750	50389	16706
751	50455	16639
752	50516	16570
753	50580	16502
754	50650	16436
755	50715	16368
756	50780	16300
757	50851	16234
758	50928	16171
759	50990	16102
760	51056	16034
761	51121	15967
762	51186	15899
763	51251	15831
764	51318	15764
765	51382	15696
766	51442	15627
767	51510	15560
768	51582	15494
769	51653	15428
770	51712	15359
771	51779	15292
772	51841	15223
773	51907	15156
774	51977	15090
775	52045	15023
776	52122	14959
777	52186	14891
778	52253	14824
779	52323	14757
780	52399	14693
781	52464	14625
782	52533	14559
783	52605	14493
784	52675	14427
785	52746	14360
786	52810	14293
787	52878	14226
788	52940	14157
789	53005	14090
790	53070	14022
791	53135	13954
792	53199	13886
793	53265	13819
794	53328	13751
795	53390	13683
796	53454	13615
797	53525	13549
798	53595	13482
799	53660	13415
800	53728	13348
801	53794	13280
802	53859	13213
803	53924	13145
804	53990	13078
805	54057	13011
806	54123	12944
807	54197	12878
808	54260	12810
809	54330	12744
810	54397	12676
811	54463	12609
812	54525	12541
813	54593	12474
814	54658	12407
815	54719	12338
816	54788	12272
817	54856	12205
818	54923	12138
819	54989	12070
820	55055	12003
821	55123	11936
822	55191	11869
823	55260	11803
824	55336	11738
825	55397	11669
826	55468	11603
827	55540	11537
828	55608	11470
829	55681	11404
830	55742	11336
831	55807	11268
832	55875	11201
833	55941	11134
834	56016	11069
835	56081	11001
836	56154	10935
837	56219	10868
838	56286	10801
839	56357	10734
840	56429	10668
841	56499	10601
842	56570	10535
843	56640	10469
844	56708	10402
845	56774	10334
846	56845	10268
847	56912	10201
848	56985	10135
849	57055	10068
850	57123	10001
851	57189	9934
852	57255	9866
853	57320	9799
854	57387	9732
855	57460	9666
856	57532	9599
857	57593	9531
858	57659	9464
859	57722	9396
860	57795	9330
861	57865	9263
862	57936	9197
863	58000	9129
864	58066	9062
865	58136	8995
866	58215	8930
867	58284	8863
868	58353	8796
869	58419	8729
870	58483	8661
871	58548	8594
872	58609	8526
873	58680	8459
874	58753	8393
875	58823	8326
876	58887	8259
877	58953	8191
878	59026	8125
879	59095	8058
880	59161	7991
881	59232	7924
882	59302	7857
883	59369	7790
884	59431	7722
885	59493	7654
886	59560	7587
887	59626	7520
888	59692	7453
889	59755	7385
890	59825	7318
891	59893	7251
892	59957	7184
893	60023	7116
894	60098	7050
895	60168	6983
896	60234	6916
897	60305	6849
898	60374	6782
899	60440	6715
900	60507	6648
901	60571	6580
902	60640	6513
903	60713	6447
904	60782	6380
905	60854	6313
906	60926	6247
907	60988	6179
908	61058	6112
909	61125	6045
910	61193	5978
911	61259	5910
912	61328	5844
913	61391	5776
914	61463	5709
915	61527	5642
916	61597	5575
917	61669	5508
918	61733	5441
919	61812	5375
920	61888	5308
921	61956	5241
922	62028	5174
923	62094	5107
924	62156	5039
925	62222	4972
926	62288	4905
927	62359	4838
928	62420	4770
929	62487	4703
930	62556	4636
931	62629	4569
932	62695	4502
933	62759	4434
934	62824	4367
935	62901	4300
936	62969	4233
937	63036	4166
938	63106	4099
939	63177	4032
940	63245	3965
941	63308	3897
942	63370	3830
943	63445	3763
944	63512	3696
945	63580	3629
946	63656	3562
947	63732	3495
948	63794	3428
949	63861	3361
950	63928	3293
951	63993	3226
952	64059	3159
953	64125	3091
954	64197	3025
955	64263	2957
956	64333	2890
957	64407	2823
958	64479	2756
959	64549	2689
960	64615	2622
961	64685	2555
962	64752	2487
963	64818	2420
964	64886	2353
965	64952	2286
966	65026	2219
967	65095	2151
968	65169	2084
969	65250	2018
970	65312	1950
971	65380	1883
972	65447	1816
973	65513	1748
974	65585	1681
975	65656	1614
976	65726	1547
977	65793	1480
978	65861	1412
979	65929	1345
980	65999	1278
981	66063	1210
982	66129	1143
983	66188	1076
984	66255	1008
985	66317	941
986	66382	874
987	66445	807
988	66508	739
989	66570	672
990	66632	605
991	66703	537
992	66766	470
993	66834	403
994	66902	336
995	66964	268
996	67026	201
997	67089	134
998	67153	67
999	67214	0
