iter	Passed	Remaining
667	52181	25934
668	52259	25856
669	52342	25780
670	52429	25707
671	52507	25628
672	52586	25550
673	52664	25472
674	52741	25394
675	52810	25311
676	52891	25234
677	52970	25157
678	53044	25077
679	53120	24998
680	53195	24918
681	53272	24839
682	53345	24759
683	53425	24681
684	53505	24604
685	53582	24526
686	53658	24446
687	53730	24366
688	53805	24286
689	53884	24208
690	53965	24132
691	54049	24056
692	54131	23980
693	54211	23902
694	54288	23824
695	54370	23748
696	54449	23670
697	54519	23588
698	54597	23510
699	54674	23431
700	54745	23350
701	54820	23271
702	54890	23189
703	54957	23107
704	55033	23028
705	55103	22946
706	55172	22865
707	55241	22783
708	55314	22703
709	55386	22622
710	55461	22543
711	55539	22465
712	55620	22388
713	55697	22310
714	55771	22230
715	55844	22150
716	55920	22071
717	55996	21992
718	56066	21911
719	56144	21833
720	56229	21758
721	56311	21682
722	56386	21603
723	56466	21526
724	56539	21446
725	56628	21372
726	56701	21292
727	56779	21214
728	56858	21136
729	56938	21059
730	57011	20979
731	57087	20900
732	57165	20822
733	57238	20743
734	57312	20663
735	57385	20584
736	57468	20507
737	57545	20429
738	57631	20354
739	57707	20275
740	57790	20199
741	57862	20119
742	57940	20041
743	58021	19964
744	58099	19886
745	58172	19806
746	58248	19727
747	58317	19647
748	58394	19568
749	58471	19490
750	58556	19415
751	58639	19338
752	58713	19259
753	58795	19182
754	58885	19108
755	58971	19032
756	59050	18955
757	59139	18881
758	59231	18807
759	59308	18728
760	59383	18650
761	59462	18572
762	59541	18494
763	59623	18417
764	59706	18341
765	59790	18265
766	59868	18186
767	59952	18110
768	60039	18035
769	60135	17962
770	60214	17884
771	60299	17808
772	60376	17730
773	60464	17655
774	60558	17581
775	60658	17509
776	60746	17434
777	60821	17355
778	60897	17276
779	60976	17198
780	61064	17123
781	61139	17044
782	61217	16965
783	61297	16887
784	61381	16811
785	61463	16734
786	61541	16656
787	61619	16577
788	61696	16499
789	61784	16423
790	61868	16347
791	61951	16270
792	62036	16193
793	62119	16116
794	62204	16040
795	62285	15962
796	62364	15884
797	62455	15809
798	62546	15734
799	62629	15657
800	62714	15580
801	62799	15504
802	62877	15425
803	62961	15348
804	63046	15272
805	63123	15193
806	63201	15115
807	63294	15040
808	63372	14961
809	63446	14882
810	63523	14803
811	63600	14725
812	63670	14644
813	63747	14566
814	63831	14489
815	63907	14410
816	63991	14333
817	64071	14255
818	64151	14177
819	64231	14099
820	64306	14020
821	64385	13942
822	64467	13864
823	64549	13787
824	64637	13710
825	64712	13631
826	64797	13554
827	64882	13478
828	64965	13400
829	65052	13323
830	65131	13245
831	65213	13168
832	65297	13090
833	65373	13011
834	65462	12935
835	65542	12857
836	65627	12780
837	65706	12702
838	65787	12624
839	65871	12546
840	65963	12471
841	66044	12393
842	66129	12315
843	66209	12237
844	66285	12158
845	66361	12080
846	66445	12002
847	66526	11924
848	66618	11848
849	66702	11770
850	66786	11693
851	66867	11615
852	66946	11537
853	67028	11459
854	67107	11380
855	67190	11303
856	67274	11225
857	67348	11146
858	67422	11066
859	67494	10987
860	67580	10910
861	67661	10832
862	67740	10753
863	67812	10674
864	67891	10595
865	67978	10518
866	68070	10442
867	68153	10364
868	68231	10285
869	68315	10208
870	68390	10129
871	68468	10050
872	68550	9972
873	68634	9894
874	68731	9818
875	68818	9741
876	68894	9662
877	68972	9583
878	69059	9506
879	69140	9428
880	69223	9350
881	69307	9272
882	69395	9195
883	69476	9116
884	69551	9037
885	69628	8958
886	69707	8880
887	69789	8802
888	69870	8724
889	69949	8645
890	70041	8568
891	70124	8490
892	70206	8412
893	70284	8333
894	70368	8255
895	70448	8177
896	70524	8098
897	70600	8019
898	70676	7940
899	70754	7861
900	70832	7782
901	70907	7703
902	70986	7625
903	71080	7548
904	71168	7470
905	71252	7392
906	71327	7313
907	71397	7234
908	71478	7155
909	71556	7077
910	71641	6999
911	71715	6919
912	71796	6841
913	71867	6762
914	71949	6683
915	72020	6604
916	72095	6525
917	72184	6447
918	72261	6369
919	72358	6292
920	72442	6213
921	72520	6135
922	72601	6056
923	72680	5978
924	72758	5899
925	72837	5820
926	72915	5742
927	73002	5664
928	73082	5585
929	73159	5506
930	73245	5428
931	73331	5350
932	73415	5272
933	73500	5193
934	73581	5115
935	73669	5037
936	73751	4958
937	73833	4880
938	73924	4802
939	74011	4724
940	74089	4645
941	74166	4566
942	74241	4487
943	74329	4409
944	74407	4330
945	74490	4252
946	74595	4174
947	74693	4097
948	74774	4018
949	74852	3939
950	74933	3860
951	75010	3782
952	75090	3703
953	75167	3624
954	75252	3545
955	75330	3467
956	75413	3388
957	75501	3310
958	75590	3231
959	75675	3153
960	75758	3074
961	75843	2995
962	75923	2917
963	76005	2838
964	76093	2759
965	76175	2681
966	76259	2602
967	76337	2523
968	76427	2445
969	76519	2366
970	76600	2287
971	76685	2209
972	76763	2130
973	76848	2051
974	76936	1972
975	77027	1894
976	77119	1815
977	77206	1736
978	77305	1658
979	77392	1579
980	77485	1500
981	77569	1421
982	77654	1342
983	77733	1263
984	77817	1185
985	77894	1106
986	77980	1027
987	78061	948
988	78143	869
989	78225	790
990	78302	711
991	78392	632
992	78472	553
993	78554	474
994	78638	395
995	78716	316
996	78799	237
997	78877	158
998	78957	79
999	79037	0
